"","neighborhood","population","confirmed_cases","confirmed_by_1M","percentage_confirmed","deaths","deaths_by_1M"
"1","AGRONOMIA",13912,2903,208669,20.87,49,3522
"2","ALMAGRO",131699,33653,255530,25.55,521,3956
"3","BALVANERA",138926,38392,276349,27.63,698,5024
"4","BARRACAS",89452,24845,277747,27.77,335,3745
"5","BELGRANO",126267,30211,239263,23.93,398,3152
"6","BOCA",45113,13462,298406,29.84,210,4655
"7","BOEDO",47306,12080,255359,25.54,178,3763
"8","CABALLITO",176076,42481,241265,24.13,637,3618
"9","CHACARITA",27761,8358,301070,30.11,114,4106
"10","COGHLAN",18604,4259,228929,22.89,54,2903
"11","COLEGIALES",52551,11488,218607,21.86,166,3159
"12","CONSTITUCION",44107,12539,284286,28.43,211,4784
"13","FLORES",164310,39987,243363,24.34,756,4601
"14","FLORESTA",37575,8460,225150,22.52,146,3886
"15","LINIERS",44132,10641,241118,24.11,190,4305
"16","MATADEROS",64436,16519,256363,25.64,280,4345
"17","MONSERRAT",39914,11569,289848,28.98,169,4234
"18","MONTE CASTRO",33623,7758,230735,23.07,129,3837
"19","NUEVA POMPEYA",42695,12744,298489,29.85,223,5223
"20","NUÃ‘EZ",51949,12090,232728,23.27,168,3234
"21","PALERMO",226534,58127,256593,25.66,805,3554
"22","PARQUE AVELLANEDA",53229,13331,250446,25.04,198,3720
"23","PARQUE CHACABUCO",56281,14267,253496,25.35,196,3483
"24","PARQUE CHAS",17489,4139,236663,23.67,60,3431
"25","PARQUE PATRICIOS",40985,18678,455728,45.57,231,5636
"26","PATERNAL",19717,5381,272912,27.29,90,4565
"27","PUERTO MADERO",6726,2250,334523,33.45,15,2230
"28","RECOLETA",157932,38922,246448,24.64,624,3951
"29","RETIRO",65413,14883,227524,22.75,200,3057
"30","SAAVEDRA",50295,10801,214753,21.48,156,3102
"31","SAN CRISTOBAL",48611,13331,274238,27.42,261,5369
"32","SAN NICOLAS",29273,11071,378198,37.82,145,4953
"33","SAN TELMO",20453,5786,282892,28.29,91,4449
"34","VELEZ SARSFIELD",35081,8005,228186,22.82,154,4390
"35","VERSALLES",13822,3300,238750,23.88,45,3256
"36","VILLA CRESPO",81959,21417,261314,26.13,300,3660
"37","VILLA DEL PARQUE",55273,12558,227200,22.72,182,3293
"38","VILLA DEVOTO",66521,15120,227297,22.73,263,3954
"39","VILLA GRAL. MITRE",34713,8209,236482,23.65,107,3082
"40","VILLA LUGANO",126374,31760,251318,25.13,474,3751
"41","VILLA LURO",32502,7845,241370,24.14,123,3784
"42","VILLA ORTUZAR",21736,5187,238636,23.86,73,3358
"43","VILLA PUEYRREDON",39654,8665,218515,21.85,133,3354
"44","VILLA REAL",13419,2981,222148,22.21,56,4173
"45","VILLA RIACHUELO",14084,4672,331724,33.17,60,4260
"46","VILLA SANTA RITA",33325,7905,237209,23.72,111,3331
"47","VILLA SOLDATI",46779,12533,267919,26.79,186,3976
"48","VILLA URQUIZA",91563,22205,242511,24.25,329,3593
